Name,Category,Price,Address,Website,Phone Number,Open Hours,Health Score,Amenities,Highlights
Bespoke All Day Cafe,"Breakfast & Brunch, Cafes, Coffee & Tea",$17.40,"2600 W Sahara AveSte 101Las Vegas, NV 89102",https://www.yelp.com/biz_redir?cachebuster=1751121115&s=97da914ca287f2eb864405dfc9f3d4a7d1077c63a041f127adbbe7d6012d23a3&src_bizid=2fUT6johT8VPDpZMUJeM9w&url=https%3A%2F%2Fbespokealldaycafelv.com%2Flas-vegas-near-las-vegas-stripe-bespoke-kitchen-food-menu&website_link_type=menu,(725) 263-0150,Mon7:00 AM - 2:00 PMTue7:00 AM - 2:00 PMWed7:00 AM - 2:00 PMThu7:00 AM - 2:00 PMFri7:00 AM - 3:00 PMSat7:00 AM - 3:00 PMOpen nowSun7:00 AM - 3:00 PM,N/A,"Takes reservations, Offers delivery",N/A
888 Japanese BBQ,"Barbeque, Japanese",$$$,"3550 S Decatur BlvdLas Vegas, NV 89103",https://www.yelp.com/biz_redir?cachebuster=1751121121&s=e599e619efb74a7800baee611f0d6d6d5b7674e44ed8a565e581ceeb7c644e1c&src_bizid=syhA1ugJpyNLaB0MiP19VA&url=https%3A%2F%2F888japanesebbq.com%2Fmenu%2F&website_link_type=menu,(702) 476-5033,Mon11:30 AM - 12:00 AM (Next day)Tue11:30 AM - 12:00 AM (Next day)Wed11:30 AM - 12:00 AM (Next day)Thu11:30 AM - 12:00 AM (Next day)Fri11:30 AM - 12:00 AM (Next day)Sat11:30 AM - 12:00 AM (Next day)Closed nowSun11:30 AM - 12:00 AM (Next day),N/A,Offers delivery,N/A
Yardbird,"Southern, New American, Cocktail Bars",$$,"3355 Las Vegas Blvd SLas Vegas, NV 89109",https://www.yelp.com/biz_redir?cachebuster=1751121132&s=6a616fa76c072550a6f24b24c596fa4ecf1e0caef1875a2e29e04d54b5c2f4e9&src_bizid=faPVqws-x-5k2CQKDNtHxw&url=https%3A%2F%2Frunchickenrun.com%2Flas-vegas%2F&website_link_type=cta,(702) 297-6541,Mon7:00 AM - 11:00 PMTue7:00 AM - 11:00 PMWed7:00 AM - 11:00 PMThu7:00 AM - 11:00 PMFri7:00 AM - 11:00 PMSat9:00 AM - 11:00 PMClosed nowSun9:00 AM - 11:00 PM,N/A,"Takes reservations, Offers delivery",N/A
Ton Shou,"Tapas/Small Plates, Izakaya",$23.00,"4049 Spring Mountain RdLas Vegas, NV 89102",https://www.yelp.com/menu/ton-shou-las-vegas-3,(702) 202-2182,Mon11:00 AM - 11:00 PMTue11:00 AM - 11:00 PMWed11:00 AM - 11:00 PMThu11:00 AM - 11:00 PMFri11:00 AM - 12:00 AM (Next day)Sat11:00 AM - 12:00 AM (Next day)Closed nowSun11:00 AM - 11:00 PM,N/A,"Takes reservations, Offers delivery",N/A
Mother Wolf,Italian,$$$$,"2777 Las Vegas Blvd SLas Vegas, NV 89109",https://www.yelp.com/biz_redir?cachebuster=1751121140&s=766b99a6615c5b66a072b4ca4814f2fe921a16e7b5e22a7846cced35c1139903&src_bizid=jiuW5lk0cMINQOE1yHaZXw&url=https%3A%2F%2Fwww.motherwolflv.com%2F%23section-menu&website_link_type=menu,(702) 678-9170,Mon5:00 PM - 9:30 PMTue5:00 PM - 9:30 PMWed5:00 PM - 9:30 PMThu5:00 PM - 9:30 PMFri4:00 PM - 10:30 PMSat4:00 PM - 10:30 PMClosed nowSun5:00 PM - 9:30 PM,N/A,"""My husband and I ate supper here on September 19, 2019 when we were in Vegas for a short vacation. I had made reservations at least several weeks earlier after finding it online. Some of the reviews were somewhat unfavorable so I…"", Takes reservations, Offers delivery",N/A
China Mama,"Chinese, Noodles, Asian Fusion",$$,"4266 Spring Mountain RdSte 106Las Vegas, NV 89102",https://www.yelp.com/biz_redir?cachebuster=1751121146&s=78ca505e84896c0b1161aeb964dfba552115adab2e6019c5344043e6bada1da8&src_bizid=PSSGWiUIYihATG_14pA4yA&url=https%3A%2F%2Fchinamama2.com%2Fmenu%2F20941127&website_link_type=menu,(702) 900-8802,Mon11:00 AM - 3:00 PM4:30 PM - 10:00 PMTue11:00 AM - 3:00 PM4:30 PM - 10:00 PMWed11:00 AM - 3:00 PM4:30 PM - 10:00 PMThu11:00 AM - 3:00 PM4:30 PM - 10:00 PMFri11:00 AM - 3:00 PM4:30 PM - 10:00 PMSat11:00 AM - 3:00 PM4:30 PM - 10:00 PMClosed nowSun11:00 AM - 3:00 PM4:30 PM - 10:00 PM,N/A,"Takes reservations, Takes reservations, Offers delivery",N/A
Esther's Kitchen,"Italian, Pizza, Cocktail Bars",$$,"1131 S Main StLas Vegas, NV 89104",https://www.yelp.com/biz_redir?cachebuster=1751121152&s=d9f696024a9b5e9088abe6dd05b5689603badc6d799ec06f061c07291e97efb4&src_bizid=QCCVxVRt1amqv0AaEWSKkg&url=https%3A%2F%2Fwww.estherslv.com%2Fmenus%2F&website_link_type=menu,(702) 570-7864,Mon11:00 AM - 11:00 PMTue11:00 AM - 11:00 PMWed11:00 AM - 11:00 PMThu11:00 AM - 11:00 PMFri11:00 AM - 11:00 PMSat10:00 AM - 11:00 PMClosed nowSun10:00 AM - 11:00 PM,N/A,"Outdoor seating, Takes reservations, Offers delivery","We specialize in Seasonal Italian Cuisine.  Pasta, bread, and pizza made in house.   We highlight local"
Guieb Cafe,"New American, Breakfast & Brunch, Cafes",$$,"4355 W Desert Inn RdSte FLas Vegas, NV 89102",https://www.yelp.com/biz_redir?cachebuster=1751121158&s=6ea5eb0c2f43e8972bf181c96e6105922514df496474d20825c8f92fd5730d53&src_bizid=ya9LMKilsPf_43xA2fYv6Q&url=https%3A%2F%2Fwww.guiebcafe.com%2Fmenu&website_link_type=menu,(702) 954-3674,Mon7:00 AM - 3:00 PMTue7:00 AM - 3:00 PMWed7:00 AM - 3:00 PMThu7:00 AM - 3:00 PMFri7:00 AM - 3:00 PMSat7:00 AM - 3:00 PMOpen nowSun7:00 AM - 3:00 PM,N/A,N/A,N/A
Netflix Bites,"American, Breakfast & Brunch, Cocktail Bars",$$,"3799 S Las Vegas BlvdLas Vegas, NV 89109",https://www.yelp.com/biz_redir?cachebuster=1751121164&s=854912a7d2e8a79fba844a7610e511da55b316b4e0d9cb6bd4a8c9c0465b72b3&src_bizid=TP-mznA-Gdx0YiGdVHXRwA&url=https%3A%2F%2Fnetflixbites.com%2Ffullmenu.pdf&website_link_type=menu,(702) 891-1111,Mon8:00 AM - 2:00 PM5:00 PM - 10:00 PMTue8:00 AM - 2:00 PM5:00 PM - 10:00 PMWed8:00 AM - 2:00 PM5:00 PM - 10:00 PMThu8:00 AM - 2:00 PM5:00 PM - 10:00 PMFri8:00 AM - 2:00 PM5:00 PM - 10:00 PMSat8:00 AM - 2:00 PM5:00 PM - 10:00 PMClosed nowSun8:00 AM - 2:00 PM5:00 PM - 10:00 PM,N/A,"Takes reservations, Offers delivery",N/A
Momofuku,"New American, Asian Fusion, Ramen",N/A,"3708 Las Vegas Blvd SLevel 2Las Vegas, NV 89109",https://www.yelp.com/biz_redir?cachebuster=1751121208&s=8a0483964d0a229837c1d1a7cd48ec4ffdf487769701675c470f36187a71627d&src_bizid=mU3vlAVzTxgmZUu6F4XixA&url=https%3A%2F%2Fvegas.momofuku.com%2Fmenu%2Fdinner%2F&website_link_type=menu,(702) 698-2663,Mon11:00 AM - 10:00 PMTue11:00 AM - 10:00 PMWed11:00 AM - 10:00 PMThu11:00 AM - 11:00 PMFri11:00 AM - 11:00 PMSat11:00 AM - 11:00 PMClosed nowSun10:00 AM - 11:00 PM,N/A,"Takes reservations, Offers delivery",N/A
Sparrow + Wolf,"New American, Cocktail Bars",$$$,"4480 Spring Mountain RdSte 100Las Vegas, NV 89102",https://www.yelp.com/biz_redir?cachebuster=1751121214&s=1fa078617de5b77a3c7c5bae9ae5377ff8b398fe424a48b70b956d986f5cb8f0&src_bizid=wkKlpSx3OcoGJiv7p8VZzw&url=http%3A%2F%2Fsparrowandwolflv.com%2Fmenu%2F&website_link_type=menu,(702) 790-2147,Mon4:30 PM - 10:00 PMTue4:30 PM - 10:00 PMWed4:30 PM - 10:00 PMThu4:30 PM - 10:00 PMFri4:30 PM - 11:00 PMSat4:30 PM - 11:00 PMClosed nowSun4:30 PM - 10:00 PM,N/A,"""We are locals in Las Vegas and shame on us we did not see a dress code on the website. When we first arrived for our reservation they asked my husband to remove his hat, no problem. Then our son was wearing flip flops and we were…"", Takes reservations",N/A
Sadelle's,"Breakfast & Brunch, American",$$,"3600 S Las Vegas BlvdLas Vegas, NV 89109",https://www.yelp.com/biz_redir?cachebuster=1751121221&s=7e035c945f5b99c7fa0edb2f11e370ee0742e47ca4e32342a2d0c222824a28d1&src_bizid=OYwExM0NGUjyPos0NLjLug&url=https%3A%2F%2Fad.doubleclick.net%2Fddm%2Fclk%2F492469054%3B299171162%3Bq&website_link_type=menu,(702) 693-7356,Mon6:00 AM - 3:00 PMTue6:00 AM - 3:00 PMWed6:00 AM - 3:00 PMThu6:00 AM - 3:00 PMFri6:00 AM - 3:00 PMSat7:00 AM - 3:00 PMOpen nowSun7:00 AM - 3:00 PM,N/A,"Takes reservations, Offers delivery",N/A
Krok,Thai,$$,"4355 Spring Mountain RdSte 107Las Vegas, NV 89103",https://www.yelp.com/biz_redir?cachebuster=1751121227&s=2df68bfd5e050c678d818d86fa46afa62cdf181f88a8faa89e3bbf6c1752f5bc&src_bizid=LewHRpP61Kwa2Rlv6ebF-A&url=https%3A%2F%2Fwww.kroksocial.com%2Fmenu&website_link_type=menu,(702) 786-1405,Mon11:00 AM - 11:45 PMTue11:00 AM - 11:45 PMWed11:00 AM - 11:45 PMThu11:00 AM - 11:45 PMFri11:00 AM - 1:45 AM (Next day)Sat11:00 AM - 1:45 AM (Next day)Closed nowSun11:00 AM - 11:45 PM,N/A,"Takeout, Offers delivery",N/A
Palette Tea Lounge & Dim Sum,"Chinese, Asian Fusion, Noodles",$$,"4601 Spring Mountain RdLas Vegas, NV 89103",https://www.yelp.com/biz_redir?url=https%3A%2F%2Fwww.yelp.com%2Forder%2Fv2%2Fcart%2Faea8f7fdd6bd744965b801509fc5c77e&cachebuster=1751121236&website_link_type=offer&src_bizid=spBQd9rlVsmYZXPBHK7LwA&s=f37e166f3e769a25dc2f4d2b0cc3b9fbb674c5b84cc454d6d808a6221d2dd528,(702) 888-3626,Mon11:00 AM - 3:00 PM5:00 PM - 10:00 PMTueClosedWed11:00 AM - 3:00 PM5:00 PM - 10:00 PMThu11:00 AM - 3:00 PM5:00 PM - 10:00 PMFri11:00 AM - 3:00 PM5:00 PM - 10:00 PMSat11:00 AM - 3:00 PM5:00 PM - 10:00 PMClosed nowSun11:00 AM - 3:00 PM5:00 PM - 10:00 PM,N/A,"Takes reservations, Offers delivery",N/A
Carson Kitchen,"New American, Tapas/Small Plates, Gastropubs",$19.00,"124 S 6th StSte 100Las Vegas, NV 89101",https://www.yelp.com/biz_redir?cachebuster=1751121239&s=ef38c74df1c7986271a4908a7845c4ce006352697ecd7088ada6b8b9e6d0091a&src_bizid=2iTsRqUsPGRH1li1WVRvKQ&url=https%3A%2F%2Fcarsonkitchen.com%2Flas%2Fcarson_kitchen_las_vegas_menu.html&website_link_type=menu,(702) 473-9523,Mon11:30 AM - 10:00 PMTue11:30 AM - 10:00 PMWed11:30 AM - 10:00 PMThu11:30 AM - 10:00 PMFri11:30 AM - 11:00 PMSat11:30 AM - 11:00 PMClosed nowSun11:30 AM - 10:00 PM,N/A,"Takes reservations, Offers delivery, ""I came here back in February for my brother's 21st birthday. I made reservations 2…""",N/A
Morning News,"Breakfast & Brunch, Coffee & Tea, Sandwiches",$$,"3154 W Sahara AveLas Vegas, NV 89102",https://www.yelp.com/biz_redir?cachebuster=1751121246&s=b4315c2a6b6e14d5da33c6a9bf127857e5028a1dd96dba275d5cdf7989e31524&src_bizid=-Cn1nyzwMLW6KF4pZi2kzQ&url=https%3A%2F%2Fwww.morningnewslasvegas.com%2Fmenu&website_link_type=menu,(702) 220-3239,Mon7:00 AM - 2:00 PMTue7:00 AM - 2:00 PMWed7:00 AM - 2:00 PMThu7:00 AM - 2:00 PMFri7:00 AM - 2:00 PMSat7:00 AM - 2:00 PMOpen nowSun7:00 AM - 2:00 PM,"Healthy Breakfast in Las Vegas, Nevada",Offers delivery,N/A
888 Sushi and Robata,"Japanese, Sushi Bars",N/A,"4480 Paradise RdSte 900Las Vegas, NV 89169",https://www.yelp.com/biz_redir?cachebuster=1751121252&s=4bebc6418add9b2445b5971e738ee978dac03ded3ad11972124a1fa5b2ab00bf&src_bizid=NmhuR3c9kV2nJlchtf1X2A&url=https%3A%2F%2F888sushirobata.com%2Fmenus%2F&website_link_type=menu,(702) 780-5442,Mon12:00 PM - 11:00 PMTue12:00 PM - 11:00 PMWed12:00 PM - 11:00 PMThu12:00 PM - 11:00 PMFri12:00 PM - 11:00 PMSat12:00 PM - 11:00 PMClosed nowSun12:00 PM - 11:00 PM,N/A,Takes reservations,N/A
CHICA,"Latin American, Breakfast & Brunch, Cocktail Bars",N/A,"3355 South Las Vegas BlvdSte 106Las Vegas, NV 89109",https://www.yelp.com/biz_redir?cachebuster=1751121258&s=3f877fad7bae6ecfdda524ccae980e3edffbc88c611f26bc0cabce74268943ec&src_bizid=gOOfBSBZlffCkQ7dr7cpdw&url=https%3A%2F%2Fwww.venetianlasvegas.com%2Frestaurants%2Fchica.html%3Futm_source%3Dyelp%26utm_medium%3Dpartner%26utm_campaign%3Dmenu-link%23menu&website_link_type=menu,(702) 805-8472,Mon8:30 AM - 11:00 PMTue8:30 AM - 11:00 PMWed8:30 AM - 11:00 PMThu8:30 AM - 11:00 PMFri8:30 AM - 1:00 AM (Next day)Sat8:30 AM - 1:00 AM (Next day)Closed nowSun8:30 AM - 11:00 PM,N/A,Takes reservations,N/A
Egg & I,"Breakfast & Brunch, Burgers, American",$$,"4533 W Sahara AveSte 5Las Vegas, NV 89102",https://www.yelp.com/biz_redir?cachebuster=1751121265&s=a04cdedac94002400bc07bfa84cdb654072dfe7ec4dacb293a21c568ed207ca7&src_bizid=3kdSl5mo9dWC4clrQjEDGg&url=https%3A%2F%2Findd.adobe.com%2Fview%2Fd12dadb1-d429-41ee-a84a-993772a6b5b0&website_link_type=menu,(725) 286-1216,Mon6:00 AM - 2:00 PMTue6:00 AM - 2:00 PMWed6:00 AM - 2:00 PMThu6:00 AM - 2:00 PMFri6:00 AM - 2:00 PMSat6:00 AM - 3:00 PMOpen nowSun6:00 AM - 3:00 PM,N/A,"Outdoor seating, ""We are locals in Las Vegas and shame on us we did not see a dress code on the website. When we first arrived for our reservation they asked my husband to remove his hat, no problem. Then our son was wearing flip flops and we were…"", Offers delivery, Takes reservations",N/A
